Date,Region_code,Org_code,Contract_code,Ambulance final dispositions,Recommend to A&E,N of calls
2017/7/7,,,111AA9,13,15,150
2017/7/7,,,111AB2,33,41,676
2017/7/7,,,111AB4,37,40,450
2017/7/7,,,111AC2,41,23,335
2017/7/7,,,111AC3,56,35,566
2017/7/7,,,111AC4,45,47,523
2017/7/7,,,111AC5,55,41,502
2017/7/7,,,111AC6,37,43,389
2017/7/7,,,111AC7,5,17,183
2017/7/7,,,111AC8,75,29,548
2017/7/7,,,111AC9,247,202,2390
2017/7/7,,,111AD4,51,40,559
2017/7/7,,,111AD5,70,86,615
2017/7/7,,,111AD6,62,64,744
2017/7/7,,,111AD7,67,91,902
2017/7/7,,,111AD8,37,46,431
2017/7/7,,,111AD9,320,262,3630
2017/7/7,,,111AE1,132,104,1223
2017/7/7,,,111AE2,33,26,334
2017/7/7,,,111AE3,54,46,492
2017/7/7,,,111AE5,73,40,533
2017/7/7,,,111AE6,39,19,325
2017/7/7,,,111AE7,66,80,670
2017/7/7,,,111AE8,44,37,374
2017/7/7,,,111AE9,25,16,305
2017/7/7,,,111AF1,49,26,311
2017/7/7,,,111AF2,96,58,582
2017/7/7,,,111AF4,62,39,720
2017/7/7,,,111AF8,416,288,4181
2017/7/7,,,111AG4,66,33,364
2017/7/7,,,111AG5,74,81,814
2017/7/7,,,111AG6,250,158,2163
2017/7/7,,,111AG7,36,40,340
2017/7/7,,,111AG8,78,56,686
2017/7/8,,,111AA1,371,202,3793
2017/7/8,,,111AA2,74,35,923
2017/7/8,,,111AA4,91,55,1455
2017/7/8,,,111AA5,106,71,1356
2017/7/8,,,111AA6,42,23,302
2017/7/8,,,111AA7,47,46,445
2017/7/8,,,111AA9,29,19,273
2017/7/8,,,111AB2,56,69,1380
2017/7/8,,,111AB4,74,54,1024
2017/7/8,,,111AC2,70,71,878
2017/7/8,,,111AC3,76,75,1161
2017/7/8,,,111AC4,70,68,1112
2017/7/8,,,111AC5,93,72,1079
2017/7/8,,,111AC6,79,70,990
2017/7/8,,,111AC7,24,15,284
2017/7/8,,,111AC8,106,40,1061
2017/7/8,,,111AC9,431,264,4319
2017/7/8,,,111AD4,70,62,855
2017/7/8,,,111AD5,100,94,1003
2017/7/8,,,111AD6,86,92,1035
2017/7/8,,,111AD7,87,97,1327
2017/7/8,,,111AD8,33,41,455
2017/7/8,,,111AD9,490,395,6428
2017/7/8,,,111AE1,195,174,2577
2017/7/8,,,111AE2,38,55,738
2017/7/8,,,111AE3,95,70,1073
2017/7/8,,,111AE5,105,78,1081
2017/7/8,,,111AE6,84,59,740
